Iron Man
The Incredible Hulk
Iron Man 2
Thor
Captain America: The First Avenger
Marvel's The Avengers
Iron Man 3
Thor: The Dark World
Captain America: The Winter Soldier
Guardians of the Galaxy
Avengers: Age of Ultron
Ant-Man
Captain America: Civil War
Doctor Strange
Guardians of the Galaxy Vol. 2
Spider-Man: Homecoming
Thor: Ragnarok
Black Panther
Avengers: Infinity War
Ant-Man and the Wasp
Captain Marvel
Avengers: Endgame
Spider-Man: Far From Home
